engagement_id,customer_id,email_opens,email_clicks,website_visits,loyalty_points_earned,last_engagement_date
54,154258,16,4,17,116,2024-06-23
55,14552,11,2,28,4535,2024-06-04
56,140174,17,4,30,4763,2024-07-10
57,56341,6,7,8,1555,2024-01-31
58,139475,0,0,30,2311,2024-10-01
59,72425,8,7,42,4424,2024-10-17
60,54091,7,7,47,609,2024-02-16
61,62242,17,6,33,4400,2024-03-20
62,179681,11,9,3,2560,2024-07-01
63,87953,18,0,16,190,2024-10-06
64,165011,3,0,41,4083,2024-07-12
65,157290,19,2,48,155,2024-04-27
66,160612,13,2,32,2101,2024-08-02
67,117199,4,4,26,4174,2024-05-22
68,124953,11,3,11,4841,2024-06-11
69,65947,5,3,35,4913,2024-12-07
70,185514,10,6,0,2030,2024-11-25
71,195784,13,2,3,534,2024-10-05
72,199287,10,8,44,2060,2024-04-19
73,181047,19,6,49,641,2024-10-17
74,164893,12,4,40,4184,2024-12-05
75,61816,13,0,35,520,2024-10-29
76,148862,3,9,20,2901,2024-06-14
77,40916,19,5,25,3315,2024-11-16
78,43943,14,6,11,1529,2024-03-16
79,47886,14,1,38,4149,2024-12-11
80,37418,6,8,33,553,2024-07-21
81,90332,3,5,4,157,2024-07-24
82,321,3,8,19,741,2024-10-04
83,189618,7,8,22,2642,2024-05-20
84,159553,17,1,12,1675,2024-09-21
85,192950,5,2,27,4925,2024-12-13
86,58564,17,8,27,4698,2024-12-25
87,188956,0,4,27,3144,2024-11-04
88,6170,0,5,29,1436,2024-03-03
89,86627,14,3,45,1286,2024-04-30
90,28660,6,8,19,1391,2024-11-18
91,19830,0,1,30,3655,2024-11-19
92,129425,4,3,29,2880,2024-05-03
93,31362,10,5,20,653,2024-03-01
94,88623,15,0,9,1085,2024-04-28
95,140869,19,9,34,3598,2024-06-30
96,72265,8,1,10,2510,2024-02-10
97,4798,5,0,23,1351,2024-11-26
98,62512,12,4,2,3153,2024-04-14
99,21999,7,7,31,3130,2024-06-28
100,107100,15,3,39,3023,2024-06-21
101,111908,13,6,45,727,2024-10-21
102,156988,12,3,30,844,2024-07-13
103,84921,6,5,44,810,2024-08-18
104,81917,13,4,2,556,2024-08-29
105,178217,5,1,11,1341,2024-01-29
106,111852,18,9,22,3473,2024-03-03
107,7300,15,5,36,2919,2024-09-08
108,2516,6,7,43,2441,2024-09-02
109,167003,11,6,36,2935,2024-12-07
110,60099,18,1,49,3018,2024-06-20
111,5610,0,6,21,3473,2024-12-12
112,193812,12,0,38,4266,2024-05-25
113,186905,5,1,42,613,2024-07-09
114,163878,16,0,30,2431,2024-02-02
115,114886,6,5,19,890,2024-09-12
116,67421,0,5,26,1475,2024-08-19
117,27284,7,6,5,4609,2024-12-05
118,173133,15,6,43,3302,2024-05-29
119,129714,14,7,29,4798,2024-11-27
120,121563,1,8,45,2261,2024-11-29
121,41013,19,5,8,2745,2024-05-12
122,153540,15,7,23,4968,2024-01-18
123,41273,12,0,13,4085,2024-03-08
124,73608,16,8,39,3215,2024-09-19
125,10629,9,1,49,260,2024-02-25
126,155969,19,2,44,2745,2024-09-21
127,188019,6,2,31,2502,2024-04-17
128,50210,7,0,45,1178,2024-11-04
129,103471,17,7,7,2657,2024-04-13
130,150040,5,3,49,3116,2024-12-09
131,169783,6,4,18,4827,2024-01-09
132,139200,1,9,25,2740,2024-08-27
133,171330,6,2,45,4753,2024-07-10
134,154654,10,0,19,2721,2024-02-10
135,15133,4,1,6,4232,2024-05-18
136,76742,17,0,25,4861,2024-06-30
137,125480,11,0,4,3369,2024-08-03
138,143141,6,5,32,3712,2024-12-07
139,120200,14,2,28,2617,2024-08-14
140,132878,8,2,9,318,2024-06-06
141,154415,16,1,35,2301,2024-03-20
142,57202,12,4,12,3302,2024-02-27
143,152785,4,2,49,3957,2024-12-30
144,78830,14,4,19,4797,2024-05-28
145,76261,6,1,17,481,2024-06-22
146,1173,15,4,46,2656,2024-02-16
147,55136,18,6,31,395,2024-08-02
148,149289,3,7,47,1194,2024-02-28
149,166036,16,0,25,1040,2024-03-14
150,489,18,6,42,3186,2024-01-03
151,36179,18,0,33,4932,2024-12-28
152,119555,9,5,40,1841,2024-08-30
153,46045,19,0,7,150,2024-09-08
154,126940,9,5,8,516,2024-12-07
155,78713,10,7,29,1033,2024-03-07
156,37390,1,5,49,2374,2024-06-21
157,33323,2,8,47,4259,2024-01-30
158,40223,13,9,30,4138,2024-01-17
159,83468,7,3,21,4473,2024-05-20
160,39127,10,2,17,478,2024-06-22
161,65785,18,4,37,3132,2024-05-10
162,121228,8,8,11,1647,2024-06-05
163,2970,5,3,41,2936,2024-05-13
164,40810,1,1,3,2012,2024-10-24
165,81990,9,9,7,1200,2024-05-24
166,26891,3,7,21,4389,2024-09-30
167,122132,17,9,15,1346,2024-09-19
168,92907,0,8,33,1027,2024-10-07
169,11155,15,4,17,2211,2024-06-21
170,30554,13,4,40,4172,2024-03-16
171,198385,2,5,11,4196,2024-11-11
172,140971,18,4,30,716,2024-06-01
173,156276,3,7,13,4058,2024-04-25
174,176726,1,4,12,2121,2024-07-29
175,170224,9,3,42,3065,2024-01-09
176,151802,9,6,48,2674,2024-09-28
177,58670,5,5,8,2859,2024-02-17
178,162945,4,7,18,1285,2024-08-21
179,21611,10,7,20,2788,2024-04-10
180,63787,9,1,8,2640,2024-06-22
181,76297,9,6,4,3569,2024-01-30
182,161791,11,7,46,997,2024-10-28
183,44558,15,9,43,1989,2024-08-05
184,78114,17,9,23,4119,2024-08-13
185,193296,7,7,16,2069,2024-06-15
186,191666,8,1,25,2645,2024-01-06
187,113392,7,6,29,4415,2024-03-21
188,122838,8,1,16,3395,2024-12-08
189,164688,15,7,48,1796,2024-06-17
190,199255,15,7,46,200,2024-09-04
191,142653,9,2,13,2790,2024-06-13
192,196512,16,6,18,3191,2024-06-16
193,184014,0,1,9,2368,2024-06-16
194,137087,1,6,9,2101,2024-01-20
195,54322,7,6,20,3597,2024-11-03
196,59966,5,1,4,3462,2024-01-19
197,96447,19,5,45,952,2024-04-15
198,74279,11,1,35,2729,2024-04-11
199,62845,14,0,28,3459,2024-07-25
200,7156,6,8,2,863,2024-10-10
201,12887,17,9,7,1777,2024-02-04
202,131023,1,1,18,1481,2024-10-20
203,122594,5,0,17,4813,2024-10-17
204,101400,0,5,7,4992,2024-01-06
205,53728,19,0,34,4567,2024-01-22
206,132156,9,2,10,2763,2024-12-04
207,27278,19,1,33,1602,2024-10-28
208,109444,7,2,41,1141,2024-10-01
209,174378,19,2,3,3114,2024-05-27
210,157693,9,8,21,3294,2024-09-19
211,131870,15,6,1,966,2024-12-13
212,166018,9,7,38,1491,2024-01-26
213,28364,3,6,25,3336,2024-06-14
214,48300,2,6,22,63,2024-03-16
215,162134,17,3,42,2620,2024-05-11
216,161828,5,9,0,401,2024-02-17
217,106664,8,9,0,3899,2024-06-28
218,37791,10,6,45,2363,2024-12-08
219,172061,18,0,47,3746,2024-01-23
220,48641,2,0,27,4059,2024-12-11
221,37876,12,4,9,2136,2024-10-26
222,43117,3,2,36,1720,2024-05-24
223,179144,16,1,11,396,2024-07-06
224,65738,16,0,14,1996,2024-08-19
225,29769,14,0,35,4709,2024-12-08
226,107142,0,5,15,3044,2024-02-12
227,31337,11,2,25,2115,2024-02-21
228,189102,2,0,30,1080,2024-03-29
229,4812,16,7,0,3321,2024-12-08
230,48906,1,5,11,819,2024-03-31
231,147486,1,1,14,2657,2024-10-27
232,1073,8,2,25,3443,2024-07-03
233,30477,13,5,27,4088,2024-12-08
234,117036,7,2,22,4090,2024-08-29
235,109344,6,2,0,1374,2024-03-01
236,104306,0,2,19,4960,2024-08-30
237,100122,2,3,39,1980,2024-05-10
238,162428,5,5,21,2077,2024-12-09
239,125682,16,1,21,2018,2024-11-28
240,181200,11,9,1,2106,2024-04-19
241,165503,8,1,34,4065,2024-03-12
242,127366,8,5,30,2850,2024-11-25
243,127781,12,3,16,4723,2024-04-04
244,176757,11,3,8,1316,2024-07-20
245,96843,7,7,4,2841,2024-12-16
246,132921,10,8,28,828,2024-08-26
247,94968,1,7,27,920,2024-05-22
248,104361,9,5,5,1705,2024-11-16
249,88551,3,0,45,461,2024-10-12
250,164941,17,7,26,2162,2024-04-29
251,29756,12,6,10,1867,2024-03-12
252,58770,18,8,2,1487,2024-12-28
253,176535,5,5,24,4202,2024-06-03
254,192185,19,5,45,3957,2024-10-18
255,79613,16,0,2,65,2024-04-04
256,178260,15,7,38,98,2024-05-09
257,21974,1,7,29,4820,2024-11-27
258,125202,3,7,18,2119,2024-11-03
259,160307,9,0,34,381,2024-10-22
260,196315,16,8,31,3618,2024-02-23
261,183582,7,7,45,191,2024-04-14
262,46039,16,8,37,4309,2024-06-19
263,46055,5,4,27,670,2024-10-26
264,95004,15,1,9,3826,2024-01-22
265,48820,10,0,5,4736,2024-09-15
266,190871,4,1,36,4081,2024-07-29
267,95620,18,0,6,2937,2024-06-24
268,55564,18,7,49,1794,2024-03-25
269,178526,7,2,0,1238,2024-01-03
270,73412,16,0,42,1837,2024-11-16
271,125998,18,9,1,3480,2024-08-24
272,47408,17,1,37,3391,2024-10-02
273,97447,10,1,14,474,2024-11-05
274,79992,5,4,24,4494,2024-03-27
275,116469,18,1,22,2467,2024-03-19
276,185486,2,0,2,1595,2024-03-08
277,24269,1,7,45,4377,2024-11-28
278,177196,0,7,15,830,2024-10-14
279,1076,14,8,8,4905,2024-05-20
280,86593,18,1,13,1747,2024-06-24
281,131285,18,1,24,1289,2024-03-18
282,12905,1,2,30,2,2024-02-01
283,89255,2,7,46,1678,2024-06-19
284,31153,18,9,38,2040,2024-08-22
285,22864,17,1,12,4475,2024-07-17
286,22194,12,9,21,4044,2024-12-01
287,1671,7,6,0,937,2024-08-08
288,173845,1,2,4,4902,2024-06-21
289,63902,6,4,28,2766,2024-01-04
290,57023,6,2,42,1704,2024-12-03
291,159242,18,9,22,314,2024-05-02
292,181921,19,1,37,4687,2024-11-21
293,154647,6,6,24,1884,2024-11-27
294,147662,5,1,11,4819,2024-07-08
295,41347,8,4,49,4339,2024-08-13
296,62192,4,3,16,220,2024-03-15
297,113299,7,7,17,2930,2024-10-16
298,191120,7,0,34,1424,2024-08-15
299,175907,4,5,1,2449,2024-09-20
300,57214,11,4,42,3850,2024-03-19
301,154419,12,6,35,3894,2024-01-17
302,45030,13,6,11,2825,2024-10-26
303,176579,2,4,31,2295,2024-02-22
304,103285,13,1,38,2059,2024-03-08
305,10496,5,8,23,709,2024-07-01
306,80447,2,7,28,2273,2024-07-09
307,124156,18,5,38,3221,2024-03-23
308,136459,10,3,48,4990,2024-10-25
309,134764,16,9,44,3564,2024-08-05
310,183773,17,5,21,19,2024-02-16
311,180624,10,6,39,3859,2024-01-29
312,172788,17,2,38,2412,2024-06-25
313,18045,18,4,42,3932,2024-08-31
314,45346,1,1,20,2682,2024-04-17
315,136346,15,4,16,3951,2024-02-12
316,54452,4,2,1,2475,2024-10-31
317,178362,10,1,16,1923,2024-07-02
318,43511,11,5,35,4610,2024-06-16
319,198995,10,9,13,3976,2024-04-30
320,135246,3,0,45,385,2024-01-28
321,186979,19,2,40,3468,2024-11-23
322,93260,12,5,5,3215,2024-09-29
323,196784,8,0,8,1332,2024-02-03
324,9457,9,5,22,2081,2024-12-09
325,27077,9,4,49,1727,2024-12-04
326,54815,1,6,44,3803,2024-05-23
327,36704,16,4,31,3963,2024-06-04
328,192601,4,6,14,1610,2024-04-23
329,54808,16,0,11,2193,2024-10-10
330,114774,2,6,16,1201,2024-06-16
331,52713,6,6,37,2129,2024-12-13
332,77589,15,2,25,846,2024-11-14
333,182729,18,0,38,4148,2024-03-08
334,106033,4,8,18,4339,2024-01-12
335,8966,9,6,20,3585,2024-05-29
336,62074,5,5,24,1829,2024-07-19
337,181364,3,8,19,804,2024-10-25
338,126404,2,8,7,782,2024-06-12
339,99311,5,3,25,4521,2024-07-23
340,36448,1,6,38,1660,2024-08-08
341,194555,3,8,42,4489,2024-02-18
342,60576,12,4,5,4431,2024-04-14
343,141014,13,6,27,1080,2024-09-22
344,113107,5,7,12,3356,2024-03-20
345,148619,7,9,22,4723,2024-01-06
346,45504,13,5,28,3056,2024-08-29
347,17043,19,2,8,398,2024-12-27
348,9886,17,8,44,1055,2024-04-23
349,15780,7,0,27,3011,2024-10-14
350,185011,12,8,7,2082,2024-03-31
351,77648,7,7,18,2628,2024-01-16
352,109724,3,0,38,3779,2024-09-17
353,53187,1,6,3,1472,2024-02-05
354,11804,5,5,16,1722,2024-02-02
355,10518,16,6,46,4938,2024-11-25
356,138150,17,3,39,3211,2024-01-24
357,63213,9,6,10,3099,2024-12-20
358,6808,17,3,32,1040,2024-01-30
359,145412,11,2,11,3376,2024-07-31
360,143422,14,1,6,4137,2024-01-08
361,58888,16,8,48,2314,2024-03-25
362,104379,3,2,4,3880,2024-06-03
363,90358,0,0,11,1837,2024-11-26
364,5904,13,1,9,4917,2024-08-11
365,58596,13,1,36,2110,2024-12-22
366,2374,5,0,47,4633,2024-10-14
367,89559,17,9,46,4948,2024-07-04
368,194394,0,0,40,639,2024-06-15
369,155932,2,4,28,3161,2024-01-01
370,146862,8,5,11,1594,2024-09-17
371,162610,14,9,3,3904,2024-12-21
372,46725,0,3,11,4014,2024-06-12
373,2700,16,3,40,1278,2024-04-12
374,183044,10,7,16,4940,2024-11-11
375,18663,1,9,29,35,2024-09-27
376,99690,18,1,36,58,2024-09-21
377,19378,9,9,24,2380,2024-05-30
378,40660,7,0,41,4976,2024-03-22
379,7251,1,9,49,3246,2024-04-20
380,66381,17,6,31,2977,2024-03-02
381,16953,8,1,29,1359,2024-11-22
382,50508,16,5,7,1087,2024-06-13
383,61239,15,3,3,4762,2024-08-01
384,23639,0,3,28,3707,2024-01-04
385,57052,13,9,43,4747,2024-03-13
386,95970,3,9,45,1660,2024-03-28
387,33563,15,7,24,1485,2024-05-05
388,190164,1,1,11,1274,2024-07-14
389,180476,11,5,22,3918,2024-01-14
390,121310,4,6,31,797,2024-06-21
391,161940,19,6,41,156,2024-02-12
392,168306,17,8,42,3145,2024-04-15
393,145122,13,2,26,2242,2024-12-19
394,146080,17,1,29,4755,2024-06-22
395,146679,4,1,34,2527,2024-02-28
396,5537,4,5,21,4591,2024-04-02
397,117413,10,7,9,3488,2024-12-08
398,49736,4,0,2,277,2024-11-15
399,83066,0,1,42,348,2024-04-12
400,2740,10,0,22,4905,2024-10-13
401,94950,3,1,9,2465,2024-03-01
402,27531,6,9,46,3489,2024-09-30
403,118394,2,3,10,3201,2024-09-20
404,157578,8,3,1,2499,2024-09-12
405,98286,19,4,2,3364,2024-02-25
406,142202,14,0,45,3074,2024-04-30
407,139857,14,9,1,672,2024-03-22
408,71380,14,2,0,1718,2024-02-13
409,29553,17,6,39,4782,2024-03-09
410,107373,14,5,16,4774,2024-03-23
411,163980,18,4,44,3794,2024-08-29
412,183437,3,2,20,395,2024-04-26
413,167487,4,2,16,2500,2024-06-22
414,66266,18,8,32,2780,2024-03-21
415,24506,11,2,31,3769,2024-04-13
416,88053,19,8,11,3270,2024-06-10
417,186140,1,0,18,2248,2024-04-14
418,143224,0,2,3,369,2024-06-17
419,172859,17,7,42,1308,2024-05-10
420,132743,14,2,27,251,2024-11-04
421,7597,4,1,26,2846,2024-12-19
422,5869,6,3,34,3778,2024-04-12
423,76362,8,9,33,1230,2024-06-24
424,86148,18,0,46,3650,2024-12-28
425,44257,1,1,46,3192,2024-10-18
426,117892,9,9,36,361,2024-10-23
427,89740,1,9,35,4598,2024-02-20
428,50093,11,2,40,3624,2024-04-01
429,103767,4,9,14,2880,2024-12-25
430,198078,1,8,40,4512,2024-05-10
431,136379,18,6,28,3931,2024-01-08
432,106142,11,9,26,774,2024-11-20
433,40007,1,6,37,4669,2024-09-11
434,114026,3,0,11,4364,2024-01-25
435,198137,3,6,4,1821,2024-03-17
436,158801,1,8,22,1887,2024-06-19
437,146990,14,6,45,601,2024-11-21
438,34459,8,5,35,354,2024-07-25
439,182918,7,0,22,2449,2024-04-29
440,184000,12,7,20,2868,2024-08-27
441,137850,17,8,24,2606,2024-07-12
442,80847,13,8,43,3995,2024-12-17
443,41527,7,1,41,4681,2024-01-07
444,144495,19,7,24,361,2024-10-23
445,158095,15,7,0,3627,2024-02-22
446,41104,16,3,47,263,2024-03-23
447,31248,6,9,43,4433,2024-12-05
448,50652,6,6,0,4966,2024-11-21
449,147776,14,8,36,1802,2024-09-05
450,12446,3,7,11,829,2024-04-27
451,45949,6,1,23,727,2024-12-22
452,61561,18,8,47,1356,2024-03-28
453,193149,16,7,30,4859,2024-07-09
454,111940,13,4,49,4006,2024-10-07
455,59450,2,6,24,1120,2024-08-17
456,106852,0,5,47,4334,2024-02-17
457,20753,14,7,28,2711,2024-05-08
458,64052,19,3,29,4134,2024-12-10
459,81040,7,8,19,2150,2024-12-16
460,15741,2,9,17,2332,2024-12-29
461,49978,9,6,25,346,2024-01-26
462,597,1,7,47,2130,2024-11-07
463,77157,7,1,35,640,2024-02-02
464,2833,10,2,3,1663,2024-03-13
465,94225,1,6,2,80,2024-09-21
466,188624,15,9,42,7,2024-03-09
467,140450,1,2,10,1706,2024-01-02
468,188302,9,6,3,2022,2024-01-15
469,105053,6,8,41,4380,2024-09-29
470,14612,2,5,41,354,2024-01-27
471,45458,0,6,20,3513,2024-01-19
472,129878,14,2,31,4425,2024-12-15
473,159753,15,3,45,1406,2024-03-03
474,42794,10,6,16,2497,2024-12-13
475,162660,7,1,7,518,2024-01-02
476,101121,11,9,40,3878,2024-01-01
477,151384,2,7,26,3718,2024-05-12
478,120703,5,6,39,2772,2024-05-12
479,37049,11,1,0,1136,2024-07-28
480,156179,17,1,38,473,2024-05-05
481,135141,14,7,49,3563,2024-06-27
482,198390,6,5,17,2093,2024-10-28
483,154892,3,1,42,2711,2024-01-25
484,107406,5,2,37,4138,2024-09-20
485,34237,3,0,48,1408,2024-12-05
486,103770,9,1,22,550,2024-07-30
487,134619,0,1,27,4509,2024-09-20
488,43505,16,0,31,4721,2024-12-11
489,3540,4,4,37,2105,2024-07-21
490,15832,4,9,18,751,2024-01-10
491,77177,19,2,26,4515,2024-01-08
492,98005,2,2,21,4957,2024-09-11
493,104165,18,1,34,2914,2024-08-08
494,139195,4,2,25,3206,2024-02-01
495,119524,16,7,3,4437,2024-07-03
496,182615,12,5,30,1827,2024-03-26
497,106507,16,2,5,174,2024-02-27
498,98175,9,0,40,572,2024-03-28
499,128012,5,5,45,862,2024-11-12
500,103228,6,8,27,2953,2024-06-05
501,153807,12,6,6,4840,2024-03-05
502,178279,5,3,49,3470,2024-04-25
503,101693,16,8,45,3383,2024-01-26
504,109421,18,4,42,4313,2024-05-21
505,44033,5,6,10,3517,2024-11-10
506,58521,13,2,3,4528,2024-06-05
507,58311,18,7,13,1592,2024-07-03
508,197807,11,6,39,430,2024-02-09
509,49054,16,8,9,1084,2024-01-06
510,90526,8,3,25,2090,2024-05-04
511,20847,10,1,19,2690,2024-04-06
512,84509,5,7,1,1226,2024-04-29
513,59764,16,6,7,3954,2024-10-17
514,141099,16,1,32,690,2024-09-30
515,38038,12,7,10,2528,2024-01-21
516,190061,12,4,44,3411,2024-03-07
517,137734,4,1,11,4079,2024-01-25
518,72817,2,7,28,632,2024-12-11
519,13728,13,1,16,2859,2024-06-26
520,34743,12,2,29,3690,2024-04-10
521,13637,18,7,42,1388,2024-09-30
522,17274,19,7,35,2424,2024-05-05
523,140019,11,6,49,2262,2024-04-09
524,146013,13,3,28,2680,2024-09-17
525,162081,18,7,2,4472,2024-02-17
526,55038,5,1,31,3136,2024-12-05
527,138443,3,8,23,4376,2024-09-28
528,172123,3,0,37,3095,2024-04-09
529,39365,15,5,44,4947,2024-02-22
530,101057,15,9,29,10,2024-08-06
531,99278,15,6,27,4517,2024-05-12
532,105962,14,1,1,3485,2024-06-04
533,184360,0,6,32,3014,2024-01-14
534,54147,4,8,41,1346,2024-09-08
535,54810,11,7,34,3937,2024-12-10
536,176286,18,4,28,4037,2024-01-07
537,22888,9,9,16,322,2024-02-16
538,32623,8,3,9,2401,2024-04-13
539,30753,18,0,41,3090,2024-11-29
540,191384,9,9,28,3802,2024-10-30
541,13658,3,3,7,521,2024-11-03
542,114279,14,3,30,1455,2024-07-13
543,132551,14,1,45,4851,2024-05-05
544,78713,6,8,48,3240,2024-09-23
545,57321,7,6,6,4254,2024-01-20
546,30877,12,3,16,3744,2024-10-05
547,46298,2,8,39,1056,2024-07-02
548,54192,17,8,11,2783,2024-07-03
549,194919,19,2,36,67,2024-09-15
550,13264,19,0,3,3676,2024-10-11
551,24420,16,2,25,2252,2024-08-17
552,68974,14,7,8,2196,2024-01-14
553,48705,5,2,43,3049,2024-03-06
554,134158,11,8,48,4497,2024-01-24
555,158323,14,7,9,2436,2024-02-06
556,143447,16,0,38,3683,2024-10-03
557,176111,8,2,36,4802,2024-12-16
558,48296,10,2,35,3484,2024-05-25
559,67221,11,4,0,1776,2024-12-17
560,41953,5,0,19,4539,2024-08-30
561,30290,4,9,48,4750,2024-12-29
562,93884,1,0,3,1337,2024-10-19
563,23631,12,5,1,4935,2024-10-27
564,117774,11,3,28,2374,2024-08-02
565,48933,19,6,12,4702,2024-08-14
566,175708,5,5,25,4204,2024-07-31
567,65901,7,6,46,3641,2024-08-03
568,7465,0,7,47,4957,2024-04-25
569,106950,7,8,39,4370,2024-09-17
570,93294,12,4,22,2511,2024-04-05
571,142767,9,5,26,3065,2024-01-15
572,84516,0,8,24,4263,2024-12-15
573,25766,18,6,17,387,2024-08-17
574,62560,5,9,48,3403,2024-06-11
575,197467,1,6,11,4200,2024-07-12
576,129855,7,5,16,3164,2024-04-26
577,39880,14,0,31,4337,2024-03-27
578,183861,15,3,43,3703,2024-06-11
579,81742,0,3,28,934,2024-03-06
580,15696,0,0,11,1118,2024-09-08
581,66477,19,4,29,3764,2024-03-25
582,102800,15,4,48,3511,2024-05-05
583,27556,15,4,5,1579,2024-11-01
584,26795,4,6,39,2889,2024-03-27
585,18132,4,8,16,1168,2024-04-15
586,164491,2,1,49,3140,2024-12-29
587,133445,7,0,9,989,2024-01-23
588,20457,11,8,26,2213,2024-06-08
589,63464,19,6,6,2765,2024-07-02
590,197177,4,3,6,4266,2024-09-06
591,76014,16,1,20,583,2024-12-13
592,188234,11,3,6,3744,2024-11-30
593,149955,16,3,22,367,2024-12-01
594,174307,3,5,4,1629,2024-12-14
595,71457,2,7,13,692,2024-06-07
596,11284,15,2,47,2728,2024-09-10
597,65171,5,2,1,2341,2024-02-11
598,168326,3,3,24,4681,2024-03-13
599,5187,1,4,43,2804,2024-07-23
600,76362,9,6,2,3770,2024-03-09
601,40180,18,6,31,87,2024-09-14
602,16371,13,7,27,678,2024-05-24
603,73797,0,2,24,4431,2024-05-01
604,138409,19,2,42,199,2024-09-04
605,26378,2,7,34,4986,2024-04-20
606,3982,14,7,0,1027,2024-10-31
607,160494,4,8,27,545,2024-05-17
608,31417,2,2,25,4438,2024-10-21
609,96179,12,5,23,113,2024-02-07
610,161524,13,9,19,3509,2024-11-22
611,41173,17,9,46,927,2024-01-19
612,63829,8,8,37,1712,2024-06-01
613,163746,11,7,44,585,2024-05-12
614,117359,6,7,27,3195,2024-04-04
615,120095,10,1,41,2985,2024-11-27
616,128162,8,5,29,699,2024-03-12
617,123816,12,1,17,4489,2024-03-07
618,268,7,8,39,3513,2024-05-05
619,75213,4,9,22,61,2024-06-05
620,184618,17,1,35,2853,2024-06-30
621,185833,6,8,42,4157,2024-06-25
622,162679,12,5,36,1223,2024-09-03
623,20290,15,6,27,93,2024-12-22
624,94478,19,8,30,4393,2024-04-26
625,4974,14,1,40,3848,2024-05-05
626,144956,6,5,5,4664,2024-10-21
627,190998,2,1,8,822,2024-10-07
628,53332,15,0,49,2938,2024-02-20
629,184709,10,5,14,1442,2024-02-18
630,141364,8,8,2,4684,2024-06-17
631,10816,9,0,28,3168,2024-12-12
632,3466,13,7,3,4337,2024-10-22
633,98279,3,4,7,1761,2024-04-27
634,83079,17,2,42,325,2024-06-09
635,30622,3,9,35,3256,2024-06-23
636,14047,0,5,11,904,2024-07-18
637,45951,18,0,12,542,2024-06-09
638,2861,12,1,46,3322,2024-03-15
639,89525,9,2,7,13,2024-06-29
640,121511,11,0,12,2669,2024-08-24
641,128660,2,8,18,2229,2024-10-03
642,49227,4,2,16,4201,2024-09-23
643,188399,7,8,42,3038,2024-12-04
644,60967,2,3,0,794,2024-08-30
645,82282,18,0,5,3642,2024-10-18
646,52666,1,9,29,623,2024-08-18
647,173198,7,5,13,2089,2024-12-04
648,113537,18,7,33,3810,2024-06-30
649,139546,0,6,39,3311,2024-05-04
650,21613,9,7,19,2600,2024-03-06
651,46219,17,7,32,570,2024-06-01
652,9129,0,4,11,2054,2024-09-13
653,173704,8,3,31,4328,2024-03-28
654,163810,4,5,25,3218,2024-08-31
655,189744,0,0,37,4694,2024-01-14
656,7378,9,5,36,3663,2024-11-02
657,168615,17,1,40,3622,2024-03-25
658,120191,3,1,36,80,2024-06-29
659,104692,11,6,10,1291,2024-02-17
660,139420,2,3,43,3601,2024-10-21
661,88027,4,0,3,761,2024-09-23
662,111054,11,4,30,4509,2024-03-18
663,186281,0,9,19,3145,2024-12-18
664,79001,3,3,44,2715,2024-02-20
665,41788,16,1,3,4286,2024-07-03
666,137899,9,7,7,4918,2024-05-10
667,181039,13,0,20,1121,2024-05-27
668,33075,4,9,28,2652,2024-01-09
